"package","target","species","cells","signed_error_pp","absolute_error_pp","brier_score","negative_log_score"
"Hmsc","new_site_prediction","species_01",300,-1.4087781812068,4.72217879272195,0.157997404318606,0.497815003762652
"Hmsc","new_site_prediction","species_02",300,1.50932905345932,7.07201915674053,0.15962526994493,0.483986704107859
"Hmsc","new_site_prediction","species_03",300,-0.478741756241297,6.99794321780414,0.188421215190712,0.553360499101734
"Hmsc","new_site_prediction","species_04",300,4.65254327447501,8.39730593961865,0.185090736248333,0.547838466763478
"Hmsc","new_site_prediction","species_05",300,6.11854485669588,6.12043931882995,0.21851041251931,0.627221366787833
"Hmsc","new_site_prediction","species_06",300,-4.50624444614822,6.42422758905666,0.17062387967576,0.521976974904474
"Hmsc","new_site_prediction","species_07",300,2.54288949607096,2.5819099779437,0.201446814488926,0.58645349219582
"Hmsc","new_site_prediction","species_08",300,-0.348532109542862,9.56054367964794,0.220460618965494,0.639452662939886
"Hmsc","new_site_prediction","species_09",300,-0.674483208899062,7.64487318604231,0.170163960511064,0.515422007521006
"Hmsc","new_site_prediction","species_10",300,3.17042645476701,3.27600074549796,0.14486082088775,0.448504380389023
"Hmsc","sampled_site_recovery","species_01",100,-0.82511687234222,9.5497892161786,0.128345595752201,0.407498419830026
"Hmsc","sampled_site_recovery","species_02",100,1.18796443212481,9.88399021497699,0.125355253884754,0.391640899534211
"Hmsc","sampled_site_recovery","species_03",100,0.280087296442654,12.0382752579147,0.171666492045157,0.51809797603088
"Hmsc","sampled_site_recovery","species_04",100,5.79153231186179,13.841204633173,0.191206729015227,0.557676689637034
"Hmsc","sampled_site_recovery","species_05",100,4.05295571652475,13.1248876814408,0.187695360816704,0.558386513584017
"Hmsc","sampled_site_recovery","species_06",100,-3.56658298666283,10.8313093407251,0.148345562375477,0.453471716955294
"Hmsc","sampled_site_recovery","species_07",100,1.80253915941726,14.0799212979352,0.182134417228321,0.53872067903588
"Hmsc","sampled_site_recovery","species_08",100,0.268316342567994,15.8293513136789,0.167870388736649,0.508244765836785
"Hmsc","sampled_site_recovery","species_09",100,0.47469567108105,13.9684755063502,0.181874714918943,0.54385562567101
"Hmsc","sampled_site_recovery","species_10",100,1.46527433995903,8.71412536825171,0.106514158791792,0.349884631661058
"gllvm","new_site_prediction","species_01",300,-3.03816731927212,4.10204636567657,0.157322973252655,0.500671168243069
"gllvm","new_site_prediction","species_02",300,0.94154406447081,9.36940502051463,0.163830789549045,0.50345314609874
"gllvm","new_site_prediction","species_03",300,-1.5612427972534,8.05772114628278,0.190317821721066,0.5559544935242
"gllvm","new_site_prediction","species_04",300,4.40647149588848,8.44225045036066,0.184143717379724,0.545529326085211
"gllvm","new_site_prediction","species_05",300,6.82544889932844,7.02005132236522,0.219869750436659,0.632024718731268
"gllvm","new_site_prediction","species_06",300,-4.68978238208371,8.86021560935081,0.17208103389523,0.529364345162128
"gllvm","new_site_prediction","species_07",300,2.68437170178235,3.17836842138892,0.201671215173746,0.586873760329927
"gllvm","new_site_prediction","species_08",300,0.187996121050685,10.4915184170491,0.223601411660834,0.651322113828473
"gllvm","new_site_prediction","species_09",300,0.0908381776276371,6.95788338995396,0.168141234393971,0.50945243431264
"gllvm","new_site_prediction","species_10",300,4.99774574612075,4.99774574612075,0.146228674380768,0.457282270024256
"gllvm","sampled_site_recovery","species_01",100,-2.14224293991055,8.99081958571097,0.126971317157745,0.399693496583449
"gllvm","sampled_site_recovery","species_02",100,0.281846124230261,10.5679712359306,0.117303119998548,0.36551990101339
"gllvm","sampled_site_recovery","species_03",100,-0.444731835728209,10.9436306391322,0.143700335542395,0.446886238163968
"gllvm","sampled_site_recovery","species_04",100,5.53773695761623,13.278849865403,0.185591296305381,0.542381838332497
"gllvm","sampled_site_recovery","species_05",100,4.57056821319132,12.893153808591,0.179426326446807,0.538743075509828
"gllvm","sampled_site_recovery","species_06",100,-3.9188624123429,11.8782809065422,0.145041338120689,0.445369503956248
"gllvm","sampled_site_recovery","species_07",100,1.97040552872725,13.0299046093877,0.143813895896081,0.451376803968259
"gllvm","sampled_site_recovery","species_08",100,0.98703636373065,15.727769602701,0.163244975763404,0.4970520603759
"gllvm","sampled_site_recovery","species_09",100,1.1704726119121,12.6080385715763,0.161301019138037,0.493783334018864
"gllvm","sampled_site_recovery","species_10",100,2.86849500986622,8.74874491222807,0.0964203573114827,0.319518750057965
"occJSDM","new_site_prediction","species_01",300,-1.18220064756511,5.61985108580175,0.159018392537664,0.495308604357455
"occJSDM","new_site_prediction","species_02",300,1.57291131568685,4.69944328416434,0.157348290845328,0.47724297619753
"occJSDM","new_site_prediction","species_03",300,-0.813015709350267,7.67486037643194,0.189806662398268,0.557370083028996
"occJSDM","new_site_prediction","species_04",300,4.51704862237617,8.02400700640445,0.184824823682669,0.548217480425368
"occJSDM","new_site_prediction","species_05",300,6.50517533550986,6.50517533550986,0.217441496844428,0.624302687035183
"occJSDM","new_site_prediction","species_06",300,-4.94873387686633,5.29067582437204,0.171902265227872,0.521758256747194
"occJSDM","new_site_prediction","species_07",300,2.51778046122621,2.5290966749552,0.20142384772296,0.586673164182842
"occJSDM","new_site_prediction","species_08",300,-0.384980240298633,8.83789010898384,0.21891217935407,0.632094619252937
"occJSDM","new_site_prediction","species_09",300,-0.409002443240989,7.73442064221361,0.171146294853705,0.518432279021245
"occJSDM","new_site_prediction","species_10",300,2.81956681605201,4.08266954634821,0.146164651646086,0.452345459292369
"occJSDM","sampled_site_recovery","species_01",100,-0.64215408010998,9.90959767815432,0.125779394072865,0.402328212203838
"occJSDM","sampled_site_recovery","species_02",100,1.51786465032977,8.82598324486668,0.123602083400239,0.393413084561734
"occJSDM","sampled_site_recovery","species_03",100,0.00282612038510899,12.1063725143263,0.167662644629146,0.509626678035841
"occJSDM","sampled_site_recovery","species_04",100,5.64979702081141,13.6838745898993,0.18536586944522,0.547466210611979
"occJSDM","sampled_site_recovery","species_05",100,4.48863780602363,13.1445025954625,0.182501755076255,0.547695864068182
"occJSDM","sampled_site_recovery","species_06",100,-3.9065535902884,10.6726565969782,0.146090439490349,0.452860110638772
"occJSDM","sampled_site_recovery","species_07",100,1.73238207901621,13.8031342271788,0.177766493487019,0.531171208253527
"occJSDM","sampled_site_recovery","species_08",100,0.232349035407678,15.59893997264,0.164424775710335,0.50160010919145
"occJSDM","sampled_site_recovery","species_09",100,0.711675847075823,13.8290523572498,0.17586096821948,0.529903400736834
"occJSDM","sampled_site_recovery","species_10",100,1.24356486352033,9.06396013497688,0.105967583967177,0.350801699980145
"sjSDM","new_site_prediction","species_01",300,-3.17942452997629,4.21064671738896,0.157621165503549,0.501589409142908
"sjSDM","new_site_prediction","species_02",300,0.249943610246462,8.87415868537259,0.162575143341738,0.50346192456601
"sjSDM","new_site_prediction","species_03",300,-1.7471792279095,8.02835833824343,0.190176708811346,0.555240714973013
"sjSDM","new_site_prediction","species_04",300,4.35971047545034,8.49254232604165,0.184042922745523,0.545289142333172
"sjSDM","new_site_prediction","species_05",300,6.6549532898948,6.97759373140069,0.22010760258832,0.632992390693986
"sjSDM","new_site_prediction","species_06",300,-4.678944832297,8.68837976210855,0.17191950166761,0.528706013739392
"sjSDM","new_site_prediction","species_07",300,3.07772544408386,3.47136033611314,0.201619692182069,0.587114782520108
"sjSDM","new_site_prediction","species_08",300,0.313202347704369,10.6533031706389,0.224154469965499,0.653497504527075
"sjSDM","new_site_prediction","species_09",300,0.703069297389939,6.87909356515766,0.167886289958982,0.508106239366787
"sjSDM","new_site_prediction","species_10",300,5.16619665231296,5.16619665231296,0.146464445190441,0.458031981437648
"sjSDM","sampled_site_recovery","species_01",100,-2.30681534169268,8.983272782915,0.13086881647855,0.407204082443921
"sjSDM","sampled_site_recovery","species_02",100,0.204986582887849,16.20350710801,0.0265253756770991,0.128407422387282
"sjSDM","sampled_site_recovery","species_03",100,-0.733129854940063,12.1065903149935,0.126792131287489,0.40145890643429
"sjSDM","sampled_site_recovery","species_04",100,5.50817100812048,12.9402172594168,0.192094873874844,0.557134421873946
"sjSDM","sampled_site_recovery","species_05",100,4.5567579415296,12.1246801176431,0.162064722008,0.499053841248694
"sjSDM","sampled_site_recovery","species_06",100,-3.89516184916442,13.259830126947,0.142898060780208,0.441656102371303
"sjSDM","sampled_site_recovery","species_07",100,2.27087792053631,19.496852239552,0.0416264580718933,0.193581970611749
"sjSDM","sampled_site_recovery","species_08",100,1.15636597520226,16.2557831385996,0.169155718322908,0.512395839412269
"sjSDM","sampled_site_recovery","species_09",100,1.69324720392724,12.7221531757341,0.145481527996408,0.451929442255571
"sjSDM","sampled_site_recovery","species_10",100,3.18971055661744,11.4523205967097,0.0556436194861778,0.198345863966361
